Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699359087.663,47.712,1800.0,50.0,8.4
1699359087.672,47.712,1800.0,0.0,8.4
1699359087.68,47.712,1800.0,33.3,8.4
1699359087.689,48.199,1800.0,25.0,8.4
1699359087.698,48.199,1800.0,33.3,8.4
1699359087.706,48.199,1800.0,25.0,8.4
1699359087.715,48.199,1800.0,33.3,8.4
1699359087.723,48.199,1800.0,0.0,8.4
1699359087.732,48.199,1800.0,33.3,8.4
1699359087.74,48.199,1800.0,25.0,8.4
1699359087.749,48.199,1800.0,25.0,8.4
1699359087.758,47.712,1800.0,50.0,8.4
1699359087.767,47.712,1800.0,0.0,8.4
1699359087.775,47.712,1800.0,33.3,8.4
1699359087.784,47.712,1800.0,25.0,8.4
1699359087.793,47.712,1800.0,33.3,8.4
1699359087.801,48.199,1800.0,25.0,8.4
1699359087.81,48.199,1800.0,0.0,8.4
1699359087.819,47.712,1800.0,25.0,8.4
1699359087.827,47.712,1800.0,33.3,8.4
1699359087.836,47.712,1800.0,25.0,8.4
1699359087.845,47.712,1800.0,40.0,8.4
1699359087.854,47.712,1800.0,33.3,8.4
1699359087.862,47.225,1800.0,25.0,8.4
1699359087.871,47.225,1800.0,33.3,8.4
1699359087.88,47.225,1800.0,0.0,8.4
1699359087.889,47.712,1800.0,40.0,8.4
1699359087.898,47.712,1800.0,0.0,8.4
1699359087.906,47.225,1800.0,25.0,8.4
1699359087.915,47.225,1800.0,33.3,8.4
1699359087.924,47.225,1800.0,25.0,8.4
1699359087.933,47.712,1800.0,25.0,8.4
1699359087.942,47.712,1800.0,33.3,8.4
1699359087.95,47.225,1800.0,25.0,8.4
1699359087.959,47.225,1800.0,0.0,8.4
1699359087.968,47.225,1800.0,25.0,8.4
1699359087.977,47.712,1800.0,25.0,8.4
1699359087.986,47.712,1800.0,33.3,8.4
1699359087.995,47.225,1800.0,25.0,8.4
1699359088.004,47.225,1800.0,25.0,8.4
1699359088.013,47.225,1800.0,33.3,8.4
1699359088.022,47.712,1800.0,25.0,8.4
1699359088.031,47.712,1800.0,33.3,8.4
1699359088.04,48.199,1800.0,25.0,8.4
1699359088.049,48.199,1800.0,25.0,8.4
1699359088.058,48.199,1800.0,0.0,8.4
1699359088.067,49.173,1800.0,25.0,8.4
1699359088.076,49.173,1800.0,40.0,8.4
1699359088.085,47.225,1800.0,33.3,8.4
1699359088.094,47.225,1800.0,0.0,8.4
1699359088.102,48.199,1800.0,25.0,8.4
1699359088.112,48.199,1800.0,33.3,8.4
1699359088.121,48.199,1800.0,0.0,8.4
1699359088.13,47.225,1800.0,25.0,8.4
1699359088.139,47.225,1800.0,33.3,8.4
1699359088.148,47.225,1800.0,40.0,8.4
1699359088.157,47.225,1800.0,25.0,8.4
1699359088.166,47.225,1800.0,0.0,8.4
1699359088.175,48.686,1800.0,25.0,8.4
1699359088.184,48.686,1800.0,40.0,8.4
1699359088.193,47.225,1800.0,0.0,8.4
1699359088.202,47.225,1800.0,25.0,8.4
1699359088.212,47.225,1800.0,25.0,8.4
1699359088.221,48.199,1800.0,33.3,8.4
1699359088.23,48.199,1800.0,25.0,8.4
1699359088.239,47.712,1800.0,0.0,8.4
1699359088.248,47.712,1800.0,40.0,8.4
1699359088.257,48.199,1800.0,50.0,8.4
1699359088.266,48.199,1800.0,0.0,8.4
1699359088.275,48.199,1800.0,40.0,8.4
1699359088.285,48.686,1800.0,0.0,8.4
1699359088.294,48.686,1800.0,25.0,8.4
1699359088.303,47.712,1800.0,25.0,8.4
1699359088.312,47.712,1800.0,33.3,8.4
1699359088.321,47.712,1800.0,25.0,8.4
1699359088.33,47.225,1800.0,0.0,8.4
1699359088.34,47.225,1800.0,40.0,8.4
1699359088.349,47.225,1800.0,0.0,8.4
1699359088.358,47.225,1800.0,25.0,8.4
1699359088.368,48.199,1800.0,25.0,8.4
1699359088.377,48.199,1800.0,25.0,8.4
1699359088.386,48.199,1800.0,33.3,8.4
1699359088.396,48.199,1800.0,25.0,8.4
1699359088.405,48.199,1800.0,25.0,8.4
1699359088.414,49.66,1800.0,25.0,8.4
1699359088.423,49.66,1800.0,33.3,8.4
1699359088.433,48.199,1800.0,25.0,8.4
1699359088.442,48.199,1800.0,25.0,8.4
1699359088.451,48.199,1800.0,0.0,8.4
1699359088.461,47.712,1800.0,50.0,8.4
1699359088.47,47.712,1800.0,25.0,8.4
1699359088.48,48.199,1800.0,25.0,8.4
1699359088.489,48.199,1800.0,25.0,8.4
1699359088.498,48.199,1800.0,33.3,8.4
1699359088.507,48.199,1800.0,25.0,8.4
1699359088.517,48.199,1800.0,25.0,8.4
1699359088.526,48.199,1800.0,25.0,8.4
1699359088.536,48.199,1800.0,33.3,8.4
1699359088.545,48.199,1800.0,40.0,8.4
1699359088.554,48.199,1800.0,0.0,8.4
1699359088.564,48.199,1800.0,40.0,8.4
1699359088.573,48.199,1800.0,0.0,8.4
1699359088.583,48.199,1800.0,33.3,8.4
1699359088.592,47.712,1800.0,25.0,8.4
1699359088.602,47.712,1800.0,25.0,8.4
