Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699352724.512,46.738,1800.0,0.0,10.2
1699352725.014,46.251,1800.0,0.0,10.2
1699352725.517,47.225,1800.0,1.0,10.2
1699352726.019,46.251,1800.0,0.0,10.2
1699352726.521,46.251,1800.0,0.0,10.2
1699352727.027,46.738,600.0,0.5,10.2
1699352727.532,46.251,600.0,0.5,10.2
1699352728.035,46.738,1800.0,24.5,10.0
1699352728.538,47.225,1800.0,24.0,10.2
1699352729.04,46.738,1800.0,0.5,10.2
1699352729.543,47.225,1800.0,0.0,10.2
1699352730.045,46.251,1800.0,0.0,10.2
1699352730.547,47.712,1800.0,0.0,10.2
1699352731.049,45.764,1800.0,0.5,10.2
1699352731.552,46.251,1800.0,0.5,10.2
1699352732.054,45.764,1800.0,0.0,10.2
1699352732.556,47.225,1800.0,0.0,10.2
1699352733.061,46.251,600.0,0.0,10.2
1699352733.564,46.738,1800.0,11.4,9.6
1699352734.068,47.225,1800.0,32.5,10.2
1699352734.571,47.712,1800.0,5.0,10.2
1699352735.073,47.225,1800.0,0.0,10.2
1699352735.576,46.738,1800.0,0.5,10.2
1699352736.078,47.225,1800.0,0.0,10.2
1699352736.58,46.251,1800.0,0.0,10.2
1699352737.083,47.225,1800.0,0.0,10.2
1699352737.585,46.738,1800.0,0.0,10.2
1699352738.087,46.738,1800.0,0.0,10.2
1699352738.592,46.251,700.0,1.5,10.2
1699352739.097,46.738,600.0,0.5,10.2
1699352739.6,47.712,1800.0,16.1,9.9
1699352740.103,47.225,1800.0,31.2,10.2
1699352740.606,47.225,1800.0,0.0,10.2
1699352741.108,47.225,1800.0,0.0,10.2
1699352741.61,46.251,1800.0,0.0,10.2
1699352742.112,46.251,1800.0,0.0,10.2
1699352742.615,45.764,1800.0,0.0,10.2
1699352743.117,47.225,1800.0,0.0,10.2
1699352743.619,46.251,1800.0,1.5,10.2
1699352744.122,46.738,1800.0,0.0,10.2
1699352744.627,45.277,600.0,0.5,10.2
1699352745.133,46.738,600.0,1.5,10.2
1699352745.636,47.225,1800.0,25.4,10.1
1699352746.138,47.225,1800.0,20.6,10.2
1699352746.641,47.225,1800.0,0.0,10.2
1699352747.143,47.712,1800.0,0.0,10.2
1699352747.645,46.738,1800.0,0.5,10.2
1699352748.148,46.251,1800.0,0.0,10.2
1699352748.65,46.738,1800.0,1.0,10.2
1699352749.152,46.251,1800.0,0.0,10.2
1699352749.655,45.764,1800.0,0.0,10.2
1699352750.157,46.738,1800.0,0.0,10.2
1699352750.662,46.251,600.0,0.5,10.2
1699352751.165,45.764,1800.0,12.4,9.7
1699352751.668,47.225,1800.0,35.0,10.2
1699352752.17,46.738,1800.0,0.5,10.2
1699352752.673,45.764,1800.0,0.0,10.2
1699352753.175,46.251,1800.0,0.0,10.2
1699352753.677,46.738,1800.0,1.5,10.2
1699352754.18,46.251,1800.0,0.5,10.2
1699352754.682,46.738,1800.0,0.0,10.2
1699352755.184,47.225,1800.0,0.0,10.2
1699352755.687,47.225,1800.0,0.0,10.2
1699352756.192,47.712,600.0,0.5,10.2
1699352756.697,46.738,600.0,0.0,10.2
1699352757.2,46.738,1800.0,23.0,10.0
1699352757.703,47.225,1800.0,24.4,10.3
1699352758.205,46.251,1800.0,0.0,10.3
1699352758.708,47.225,1800.0,1.0,10.3
1699352759.21,47.225,1800.0,0.0,10.3
1699352759.713,46.251,1800.0,0.5,10.3
1699352760.215,46.738,1800.0,0.0,10.3
1699352760.717,45.764,1800.0,0.0,10.3
1699352761.22,46.251,1800.0,0.5,10.2
1699352761.722,46.251,1800.0,0.0,10.2
1699352762.227,46.251,600.0,0.0,10.2
1699352762.73,47.225,1800.0,9.4,9.6
1699352763.233,47.225,1800.0,31.0,10.2
1699352763.736,47.712,1800.0,8.5,10.3
1699352764.238,47.225,1800.0,0.0,10.3
1699352764.741,46.738,1800.0,0.5,10.3
1699352765.243,47.225,1800.0,0.0,10.3
1699352765.745,46.738,1800.0,0.5,10.3
1699352766.248,46.738,1800.0,0.0,10.3
1699352766.75,45.277,1800.0,0.0,10.3
1699352767.253,45.764,1800.0,0.5,10.3
1699352767.757,46.738,700.0,0.5,10.3
