Temps,Luminosite
1697148164,4095
1697148164,4095
1697148165,4095
1697148165,4095
1697148166,4095
1697148166,4095
1697148167,4095
1697148167,4095
1697148168,4095
1697148168,4095
1697148169,4095
1697148169,4095
1697148170,4095
1697148170,4095
1697148171,4095
1697148171,4095
1697148172,4095
1697148172,4095
1697148173,4095
1697148173,4095
1697148174,4095
1697148174,4095
1697148175,4095
1697148175,4095
1697148176,4095
1697148176,4095
1697148177,4095
1697148177,4095
1697148178,4095
1697148178,4095
1697148179,4095
1697148179,4095
1697148180,4095
1697148180,4095
1697148181,4095
1697148181,4095
1697148182,4095
1697148182,4095
1697148183,4095
1697148183,4095
1697148184,4095
1697148184,4095
1697148185,4095
1697148185,4095
1697148186,4095
1697148186,4095
1697148187,4095
1697148187,4095
1697148188,4095
1697148188,4095
1697148189,4095
1697148189,4095
1697148190,4095
1697148190,4095
1697148191,4095
1697148191,4095
1697148192,4095
1697148192,4095
1697148193,4095
1697148193,4095
1697148194,4095
1697148194,4095
1697148195,4095
1697148195,4095
1697148196,4095
1697148196,4095
1697148197,4095
1697148197,4095
1697148198,4095
1697148198,4095
1697148199,4095
1697148199,4095
1697148200,4095
1697148200,4095
1697148201,4095
1697148201,4095
1697148202,4095
1697148202,4095
1697148203,4095
1697148203,4095
1697148204,4095
1697148204,4095
1697148205,4095
1697148205,4095
1697148206,4095
1697148206,4095
1697148207,4095
1697148207,4095
1697148208,4095
1697148208,4095
1697148209,4095
1697148209,4095
1697148210,4095
1697148210,4095
1697148211,4095
1697148211,4095
1697148212,4095
1697148212,4095
1697148213,4095
1697148213,4095
1697148214,4095
1697148214,4095
1697148215,4095
1697148215,4095
1697148216,4095
1697148216,4095
1697148217,4095
1697148217,4095
1697148218,4095
1697148218,4095
1697148219,4095
1697148219,4095
1697148220,4095
1697148220,4095
1697148221,4095
1697148221,4095
1697148222,4095
1697148222,4095
1697148223,4095
1697148223,4095
1697148224,4095
1697148224,4095
1697148225,4095
1697148225,4095
1697148226,4095
1697148226,4095
1697148227,4095
1697148227,4095
1697148228,4095
1697148228,4095
1697148229,4095
1697148229,4095
1697148230,4095
1697148230,4095
1697148231,4095
1697148231,4095
1697148232,4095
1697148232,4095
1697148233,4095
1697148233,4095
1697148234,4095
1697148234,4095
1697148235,4095
1697148235,4095
1697148236,4095
1697148236,4095
1697148237,4095
1697148237,4095
1697148238,4095
1697148238,4095
1697148239,4095
1697148239,4095
1697148240,4095
1697148240,4095
1697148241,4095
1697148241,4095
1697148242,4095
1697148242,4095
1697148243,4095
1697148243,4095
1697148244,4095
1697148244,4095
1697148245,4095
1697148245,4095
1697148246,4095
1697148246,4095
1697148247,4095
1697148247,4095
1697148248,4095
1697148248,4095
1697148251,4095
1697148251,4095
1697148251,4095
1697148251,4095
1697148251,4095
1697148251,4095
1697148252,4095
1697148252,4095
1697148253,4095
1697148253,4095
1697148254,4095
1697148254,4095
1697148255,4095
1697148255,4095
1697148256,4095
1697148256,4095
1697148257,4095
1697148257,4095
1697148258,4095
1697148258,4095
1697148259,4095
1697148259,4095
1697148260,4095
1697148260,4095
1697148261,4095
1697148261,4095
1697148262,4095
1697148262,4095
1697148263,4095
1697148263,4095
1697148264,4095
1697148264,4095
1697148265,4095
1697148265,4095
1697148266,4095
1697148266,4095
1697148267,4095
1697148267,4095
1697148268,4095
1697148268,4095
1697148269,4095
1697148269,4095
1697148270,4095
1697148270,4095
1697148271,4095
1697148271,4095
1697148272,4095
1697148272,4095
1697148273,4095
1697148273,4095
1697148274,4095
1697148274,4095
1697148275,4095
1697148275,4095
1697148276,4095
1697148276,4095
1697148277,4095
1697148277,4095
1697148278,4095
1697148278,4095
1697148280,4095
1697148280,4095
1697148280,4095
1697148280,4095
1697148281,4095
1697148281,4095
1697148282,4095
1697148282,4095
1697148283,4095
1697148283,4095
1697148284,4095
1697148284,4095
1697148285,4095
1697148285,4095
1697148286,4095
1697148286,4095
1697148287,4095
1697148287,4095
1697148288,4095
1697148288,4095
1697148289,4095
1697148289,4095
