Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Cluster
1697139165.089,47.712,1800.0,3.5,10.2,cluster0
1697139165.591,47.225,1800.0,4.5,10.2,cluster0
1697139166.094,47.225,1800.0,5.0,10.2,cluster0
1697139166.596,47.225,1800.0,6.4,10.2,cluster0
1697139167.099,46.738,1800.0,3.0,10.2,cluster0
1697139167.601,47.225,1800.0,5.0,10.2,cluster0
1697139168.105,47.712,1800.0,5.0,10.2,cluster0
1697139168.609,46.251,800.0,10.3,10.2,cluster0
1697139169.114,47.225,800.0,5.9,10.2,cluster0
1697139169.618,48.199,1800.0,31.8,9.9,cluster0
1697139170.12,47.712,1800.0,29.3,10.2,cluster0
1697139170.623,47.225,1800.0,4.5,10.2,cluster0
1697139171.126,47.712,1800.0,3.5,10.2,cluster0
1697139171.628,47.225,1800.0,5.0,10.2,cluster0
1697139172.131,48.199,1800.0,4.5,10.2,cluster0
1697139172.633,48.199,1800.0,4.0,10.1,cluster0
1697139173.136,48.199,1800.0,5.0,10.1,cluster0
1697139173.638,47.225,1800.0,5.9,10.1,cluster0
1697139174.141,48.199,1800.0,3.5,10.1,cluster0
1697139174.646,47.225,600.0,7.8,10.1,cluster0
1697139175.151,47.225,800.0,6.4,10.1,cluster0
1697139175.654,47.712,1800.0,20.9,9.8,cluster0
