Temps,Fcpu1
1697512991,240
1697512992,240
1697512992,240
1697512993,240
1697512993,240
1697512994,240
1697512994,240
1697512995,240
1697512995,240
1697512996,240
1697512996,240
1697512997,240
1697512997,240
1697512998,240
1697512998,240
1697512999,240
1697512999,240
1697513000,240
1697513000,240
1697513001,240
1697513001,240
1697513002,240
1697513002,240
1697513003,240
1697513003,240
1697513004,240
1697513004,240
1697513005,240
1697513005,240
1697513006,240
1697513006,240
1697513007,240
1697513007,240
1697513008,240
1697513008,240
1697513009,240
1697513009,240
1697513010,240
1697513010,240
1697513011,240
1697513011,240
1697513012,240
1697513012,240
1697513013,240
1697513013,240
1697513014,240
1697513014,240
1697513015,240
1697513015,240
1697513016,240
1697513016,240
1697513017,240
1697513017,240
1697513018,240
1697513019,240
1697513019,240
1697513020,240
1697513020,240
1697513021,240
1697513021,240
1697513022,240
1697513022,240
1697513023,240
1697513023,240
1697513024,240
1697513024,240
1697513025,240
1697513025,240
1697513026,240
1697513026,240
1697513027,240
1697513027,240
1697513028,240
1697513028,240
1697513029,240
1697513029,240
1697513030,240
1697513030,240
1697513031,240
1697513031,240
1697513032,240
1697513032,240
1697513033,240
1697513033,240
1697513034,240
1697513034,240
1697513035,240
1697513035,240
1697513036,240
1697513036,240
1697513037,240
1697513037,240
1697513038,240
1697513038,240
1697513039,240
1697513039,240
1697513040,240
1697513040,240
1697513041,240
1697513041,240
1697513042,240
1697513042,240
1697513043,240
1697513043,240
1697513044,240
1697513044,240
1697513045,240
1697513045,240
1697513046,240
1697513046,240
1697513047,240
1697513047,240
1697513048,240
1697513048,240
1697513049,240
1697513049,240
1697513050,240
1697513050,240
1697513051,240
1697513051,240
1697513052,240
1697513052,240
1697513053,240
1697513053,240
1697513054,240
1697513054,240
1697513055,240
1697513055,240
1697513056,240
1697513056,240
1697513057,240
1697513058,240
1697513058,240
1697513058,240
1697513059,240
1697513059,240
1697513060,240
1697513061,240
1697513061,240
1697513062,240
1697513062,240
1697513063,240
1697513063,240
1697513064,240
1697513064,240
1697513065,240
1697513065,240
1697513066,240
1697513066,240
1697513067,240
1697513067,240
1697513068,240
1697513068,240
1697513069,240
1697513069,240
1697513070,240
1697513070,240
1697513071,240
1697513071,240
1697513072,240
1697513072,240
1697513073,240
1697513073,240
1697513074,240
1697513074,240
1697513075,240
1697513075,240
1697513076,240
1697513076,240
1697513077,240
1697513077,240
1697513078,240
1697513078,240
1697513079,240
1697513079,240
1697513080,240
1697513080,240
1697513081,240
1697513081,240
1697513082,240
1697513082,240
1697513083,240
1697513083,240
1697513084,240
1697513084,240
1697513085,240
1697513085,240
1697513086,240
1697513087,240
1697513087,240
1697513088,240
1697513088,240
1697513088,240
1697513089,240
1697513089,240
1697513090,240
1697513090,240
1697513091,240
1697513091,240
1697513092,240
1697513092,240
1697513093,240
1697513093,240
1697513094,240
1697513094,240
1697513095,240
1697513095,240
1697513096,240
1697513096,240
1697513097,240
1697513097,240
1697513098,240
1697513098,240
1697513099,240
1697513099,240
1697513100,240
1697513100,240
1697513101,240
1697513101,240
1697513102,240
1697513103,240
1697513103,240
1697513104,240
1697513104,240
1697513105,240
1697513105,240
1697513106,240
1697513106,240
1697513107,240
1697513107,240
1697513108,240
1697513108,240
1697513109,240
