Temps,Delay
1697456441980.0,7
1697456446982.0,6
1697456451983.0,7
1697456456987.0,7
1697456461992.0,7
1697456466994.0,6
1697456472000.0,6
1697456477003.0,6
1697456482005.0,6
1697456487010.0,6
1697456492015.0,6
1697456497018.0,7
1697456502023.0,7
1697456507025.0,6
1697456512026.0,7
1697456517030.0,6
1697456522036.0,7
1697456527038.0,7
1697456532044.0,7
1697456537047.0,7
1697456542049.0,6
1697456547054.0,6
1697456552059.0,6
1697456557065.0,6
1697456562070.0,6
1697456567074.0,7
1697456572074.0,6
1697456577079.0,7
1697456582084.0,7
1697456587086.0,6
1697456592092.0,7
1697456597095.0,6
1697456602098.0,7
1697456607103.0,7
1697456612107.0,6
1697456617111.0,8
1697456622115.0,7
1697456627117.0,6
1697456632117.0,6
1697456637122.0,6
1697456642127.0,6
1697456647129.0,6
1697456652135.0,7
1697456657138.0,7
1697456662140.0,6
1697456667146.0,6
1697456672151.0,6
1697456677155.0,7
1697456682160.0,7
1697456687163.0,7
1697456692163.0,7
1697456697166.0,6
1697456702171.0,6
1697456707174.0,7
1697456712181.0,9
1697456717182.0,7
1697456722184.0,6
1697456727189.0,6
1697456732194.0,6
1697456737200.0,10
1697456742202.0,6
1697456747206.0,7
1697456752206.0,7
1697456757210.0,6
1697456762213.0,6
1697456767216.0,6
1697456772221.0,6
1697456777225.0,7
1697456782227.0,6
1697456787232.0,6
1697456792238.0,7
1697456797238.0,4
1697456802246.0,7
1697456807252.0,9
1697456812250.0,7
1697456817255.0,7
1697456822260.0,7
1697456827262.0,7
1697456832266.0,6
1697456837270.0,6
1697456842273.0,7
1697456847278.0,6
1697456852284.0,7
1697456857284.0,5
1697456862290.0,6
1697456867293.0,6
1697456872294.0,7
1697456877298.0,6
1697456882304.0,7
1697456887306.0,7
1697456892311.0,7
1697456897314.0,6
1697456902319.0,8
1697456907322.0,6
1697456912327.0,6
1697456917328.0,5
1697456922333.0,6
1697456927336.0,6
1697456932337.0,6
1697456937342.0,7
1697456942347.0,7
1697456947349.0,6
1697456952354.0,7
1697456957358.0,7
1697456962360.0,7
1697456967365.0,6
1697456972370.0,7
1697456977372.0,6
1697456982377.0,6
1697456987381.0,6
1697456992382.0,7
1697456997388.0,8
1697457002392.0,6
1697457007394.0,6
1697457012399.0,6
1697457017403.0,6
1697457022406.0,6
1697457027412.0,7
1697457032417.0,7
1697457037419.0,6
1697457042425.0,6
1697457047429.0,7
1697457052429.0,6
1697457057434.0,6
1697457062440.0,7
1697457067442.0,7
1697457072447.0,7
1697457077450.0,6
1697457082453.0,7
1697457087457.0,6
1697457092462.0,6
1697457097467.0,8
1697457102470.0,6
1697457107474.0,7
1697457112473.0,6
1697457117478.0,6
1697457122484.0,6
1697457127487.0,6
1697457132493.0,7
1697457137496.0,7
1697457142498.0,7
1697457147502.0,6
1697457152507.0,6
1697457157510.0,6
1697457162516.0,7
1697457167519.0,6
1697457172520.0,7
1697457177525.0,7
1697457182530.0,7
1697457187532.0,6
1697457192537.0,6
1697457197541.0,6
1697457202544.0,6
1697457207549.0,6
1697457212555.0,7
1697457217557.0,6
1697457222562.0,6
1697457227566.0,6
1697457232567.0,7
1697457237571.0,6
1697457242577.0,7
1697457247579.0,6
1697457252584.0,6
1697457257588.0,6
1697457262590.0,6
1697457267595.0,6
1697457272600.0,6
1697457277603.0,6
1697457282608.0,6
1697457287613.0,7
1697457292613.0,6
1697457297619.0,7
1697457302624.0,7
1697457307626.0,6
1697457312631.0,6
1697457317636.0,7
1697457322638.0,6
1697457327644.0,7
1697457332649.0,7
1697457337651.0,6
1697457342657.0,6
1697457347662.0,7
1697457352661.0,6
1697457357667.0,7
1697457362672.0,7
1697457367674.0,6
1697457372679.0,6
1697457377684.0,7
1697457382687.0,7
1697457387692.0,6
1697457392697.0,6
1697457397700.0,6
1697457402706.0,7
1697457407709.0,6
1697457412709.0,6
1697457417715.0,7
1697457422720.0,6
1697457427724.0,7
1697457432728.0,6
1697457437732.0,6
1697457442734.0,6
1697457447739.0,6
1697457452745.0,7
1697457457748.0,7
1697457462753.0,6
1697457467758.0,7
1697457472758.0,7
1697457477762.0,6
1697457482768.0,7
1697457487771.0,7
1697457492775.0,6
1697457497780.0,7
1697457502782.0,6
1697457507787.0,6
1697457512793.0,7
1697457517795.0,6
1697457522801.0,7
1697457527804.0,6
1697457532804.0,6
1697457537810.0,6
1697457542815.0,6
1697457547818.0,6
1697457552824.0,7
1697457557828.0,7
1697457562830.0,6
1697457567836.0,6
1697457572841.0,6
1697457577845.0,7
1697457582850.0,7
1697457587849.0,6
1697457592849.0,5
1697457597853.0,6
1697457602858.0,6
1697457607861.0,6
1697457612866.0,6
1697457617871.0,7
1697457622873.0,6
1697457627879.0,7
1697457632884.0,6
1697457637888.0,7
1697457642892.0,6
1697457647892.0,6
1697457652893.0,6
1697457657898.0,6
1697457662903.0,6
1697457667907.0,7
1697457672911.0,6
1697457677915.0,6
1697457682918.0,6
1697457687924.0,7
1697457692928.0,6
1697457697932.0,6
1697457702936.0,6
1697457707936.0,6
1697457712937.0,6
1697457717943.0,7
1697457722947.0,6
1697457727951.0,7
1697457732956.0,6
1697457737960.0,6
1697457742964.0,7
1697457747969.0,7
1697457752973.0,6
1697457757977.0,7
1697457762982.0,7
1697457767982.0,7
1697457772981.0,6
1697457777987.0,6
1697457782992.0,7
1697457787994.0,6
1697457792999.0,6
1697457798004.0,7
