Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Cluster
1697218486.158,42.842,1800.0,3.5,10.4,cluster0
1697218486.662,42.355,700.0,4.5,10.4,cluster0
1697218487.167,42.842,700.0,5.4,10.4,cluster0
1697218487.67,42.842,1800.0,15.9,9.9,cluster0
1697218488.173,43.816,1800.0,36.8,10.3,cluster0
1697218488.676,43.816,1800.0,7.9,10.4,cluster0
1697218489.178,43.816,1800.0,4.5,10.4,cluster0
1697218489.681,42.842,1800.0,3.5,10.4,cluster0
1697218490.184,43.329,1800.0,4.0,10.4,cluster0
1697218490.686,43.329,1800.0,3.0,10.4,cluster0
1697218491.189,43.329,1800.0,2.0,10.4,cluster0
1697218491.691,43.329,1800.0,5.4,10.4,cluster0
1697218492.194,42.842,1800.0,4.0,10.4,cluster0
1697218492.698,43.816,700.0,3.5,10.4,cluster0
1697218493.203,42.842,800.0,4.0,10.4,cluster0
1697218493.71,43.329,1000.0,9.5,9.7,cluster0
1697218494.213,43.816,1800.0,29.9,10.2,cluster0
1697218494.716,43.329,1800.0,22.4,10.3,cluster0
1697218495.219,42.842,1800.0,3.0,10.3,cluster0
1697218495.721,44.303,1800.0,5.5,10.3,cluster0
1697218496.224,43.816,1800.0,3.0,10.3,cluster0
1697218496.726,44.303,1800.0,3.0,10.3,cluster0
1697218497.229,43.816,1800.0,4.5,10.3,cluster0
1697218497.732,44.303,1800.0,4.0,10.4,cluster0
