Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1697227214.065,44.303,1800.0,0.5,10.4,normal
1697227214.57,44.79,1800.0,0.0,10.4,normal
1697227215.072,43.816,1800.0,0.0,10.4,normal
1697227215.574,43.816,1800.0,0.0,10.4,normal
1697227216.08,45.277,600.0,2.0,10.4,normal
1697227216.586,43.329,600.0,0.5,10.4,normal
1697227217.089,44.303,1800.0,16.6,9.9,normal
1697227217.591,45.764,1800.0,29.6,10.3,normal
1697227218.094,44.303,1800.0,0.0,10.3,normal
1697227218.596,44.303,1800.0,0.5,10.3,normal
1697227219.098,44.303,1800.0,0.0,10.3,normal
1697227219.604,43.329,1800.0,0.5,10.3,normal
1697227220.106,44.303,1800.0,0.0,10.3,normal
1697227220.608,44.303,1800.0,0.0,10.3,normal
1697227221.111,43.816,1800.0,1.5,10.3,normal
1697227221.613,44.79,1800.0,0.5,10.3,normal
1697227222.118,43.816,600.0,0.5,10.3,normal
1697227222.624,44.79,600.0,0.0,10.3,normal
1697227223.127,45.277,1800.0,23.5,10.2,normal
1697227223.63,44.303,1800.0,22.2,10.3,normal
1697227224.132,44.79,1800.0,0.0,10.3,normal
1697227224.638,44.303,1800.0,0.0,10.3,normal
1697227225.14,44.303,1800.0,0.5,10.3,normal
1697227225.643,43.329,1800.0,0.0,10.3,normal
1697227226.145,44.79,1800.0,1.0,10.3,normal
1697227226.648,44.303,1800.0,0.5,10.3,normal
1697227227.15,44.79,1800.0,0.0,10.3,normal
1697227227.652,43.329,1800.0,0.0,10.3,normal
1697227228.158,43.816,600.0,0.5,10.3,normal
1697227228.662,44.303,900.0,6.0,9.3,normal
1697227229.166,44.303,1800.0,27.7,10.2,normal
1697227229.669,44.79,1800.0,12.9,10.3,normal
1697227230.172,44.79,1800.0,0.5,10.3,normal
1697227230.674,43.816,1800.0,0.0,10.3,normal
1697227231.176,44.79,1800.0,1.0,10.3,normal
1697227231.679,44.303,1800.0,0.0,10.3,normal
1697227232.181,44.303,1800.0,0.0,10.3,normal
1697227232.684,44.303,1800.0,0.5,10.3,normal
1697227233.186,43.816,1800.0,0.0,10.3,normal
1697227233.691,44.303,700.0,0.0,10.3,normal
1697227234.196,44.79,600.0,0.5,10.3,normal
1697227234.699,44.79,1800.0,15.0,10.0,normal
1697227235.202,43.816,1800.0,30.2,10.3,normal
1697227235.704,44.79,1800.0,0.0,10.3,normal
1697227236.207,44.303,1800.0,1.0,10.3,normal
1697227236.709,44.79,1800.0,0.5,10.3,normal
1697227237.212,44.303,1800.0,0.0,10.3,normal
1697227237.714,44.79,1800.0,0.0,10.3,normal
1697227238.216,44.303,1800.0,0.0,10.3,normal
1697227238.719,44.303,1800.0,0.5,10.3,normal
1697227239.221,43.816,1800.0,0.0,10.3,normal
1697227239.726,44.303,600.0,0.0,10.3,normal
1697227240.232,44.303,600.0,2.0,10.2,normal
1697227240.736,44.303,1800.0,25.7,10.1,normal
1697227241.238,44.79,1800.0,20.1,10.3,normal
1697227241.741,44.303,1800.0,0.0,10.3,normal
1697227242.243,44.79,1800.0,0.5,10.3,normal
1697227242.745,45.277,1800.0,0.0,10.3,normal
1697227243.248,44.303,1800.0,0.0,10.3,normal
1697227243.75,43.329,1800.0,0.0,10.3,normal
1697227244.252,44.303,1800.0,0.0,10.3,normal
1697227244.755,45.277,1800.0,0.0,10.3,normal
1697227245.257,44.79,1800.0,0.0,10.3,normal
1697227245.762,44.79,600.0,0.0,10.3,normal
1697227246.265,44.303,1800.0,13.4,9.8,normal
1697227246.768,45.277,1800.0,33.7,10.2,normal
1697227247.271,44.79,1800.0,1.5,10.3,normal
1697227247.773,43.816,1800.0,0.5,10.3,normal
1697227248.275,45.277,1800.0,0.0,10.3,normal
1697227248.778,44.303,1800.0,0.0,10.3,normal
1697227249.28,45.277,1800.0,0.0,10.3,normal
1697227249.782,44.79,1800.0,0.0,10.3,normal
1697227250.285,44.303,1800.0,0.0,10.3,normal
1697227250.787,44.303,1800.0,0.5,10.3,normal
1697227251.293,43.816,600.0,1.5,10.3,normal
1697227251.798,43.329,600.0,0.5,10.3,normal
1697227252.301,44.303,1800.0,17.1,10.0,normal
1697227252.804,45.277,1800.0,29.4,10.3,normal
1697227253.306,44.79,1800.0,0.0,10.3,normal
1697227253.809,44.303,1800.0,0.5,10.3,normal
1697227254.311,45.277,1800.0,0.0,10.3,normal
